"","SOURCEID","pscs","X","Y","CLYPPT","CLYPPT.sd","SOURCEDB","DEPTH"
"2680","S1979NV031007","PSAMMENTS",6340438.19090568,3729856.37466791,4,8,"NASIS",NA
"2681","S1979NV031008","LOAMY-SKELETAL",6341542.03994232,3753625.01273529,20,8,"NASIS",NA
"2682","S1979NV031009","SANDY",6344129.26087151,3739279.30721135,6,6,"NASIS",NA
"2683","S1979NV031010","PSAMMENTS",6344674.43282446,3739700.31012904,4,8,"NASIS",NA
"2684","S1979NV031014","LOAMY-SKELETAL",6342535.21283151,3753942.52679214,20,8,"NASIS",NA
"2685","S1979NV031015","FINE",6342691.69033634,3756107.13234215,48,9,"NASIS",NA
"2686","S1979NV031016","FINE",6342456.08981967,3757056.91052419,48,9,"NASIS",NA
"2687","S1979NV031017","FINE",6342386.85781755,3757077.89034484,48,9,"NASIS",NA
"2688","S1979NV031018","FINE",6342473.9403017,3757064.01034433,48,9,"NASIS",NA
"2689","S1979NV031023","LOAMY-SKELETAL",6343433.01180004,3757619.65881111,20,8,"NASIS",NA
"2690","S1979NV031024","FINE",6343159.80803414,3759381.47911446,48,9,"NASIS",NA
"2691","S1979NV031025","LOAMY-SKELETAL",6343090.6001797,3759402.45337448,20,8,"NASIS",NA
"2692","S1979NV031026","FINE",6342905.83059151,3759458.45410248,48,9,"NASIS",NA
"2693","S1979NV031028","CLAYEY-SKELETAL",6342902.71542109,3759927.65800979,64,16,"NASIS",NA
"2694","S1979NV031029","FINE",6342427.87222819,3760201.64591178,48,9,"NASIS",NA
"2695","S1979NV031030","LOAMY-SKELETAL",6339916.90457795,3742015.28720862,20,8,"NASIS",NA
"2696","00CA729400","LOAMY-SKELETAL",6345804.38476791,3665836.21665497,20,8,"NASIS",NA
"2697","2001NV005001","COARSE-SILTY",6349180.82878204,3711010.21593172,10,11,"NASIS",NA
"2698","300J","FINE-LOAMY",6219310.28392241,3794148.09991415,27,6,"NASIS",NA
"2699","01ca729115-ewb","LOAMY-SKELETAL",6348728.3298014,3666052.17402827,20,8,"NASIS",NA
"2700","00ca729103-ewb","FINE",6342914.4192249,3657769.98715684,48,9,"NASIS",NA
"2701","302V","CLAYEY-SKELETAL",6215902.04452002,3782741.120207,64,16,"NASIS",NA
"2702","01ca729111-ewb","LOAMY-SKELETAL",6329489.61931343,3658960.95263352,20,8,"NASIS",NA
"2703","01ca729121-ewb","SANDY-SKELETAL",6344869.12988859,3642051.59923593,6,6,"NASIS",NA
"2704","01ca729112-ewb","LOAMY-SKELETAL",6330701.88388648,3668642.03123258,20,8,"NASIS",NA
"2705","01ca729113-ewb","FINE-LOAMY",6332821.75340184,3671626.87241942,27,6,"NASIS",NA
"2706","01ca729114-ewb","LOAMY-SKELETAL",6329522.18981418,3652589.47548785,20,8,"NASIS",NA
"2707","01ca729004-ewb","LOAMY-SKELETAL",6349686.29016127,3667475.55383411,20,8,"NASIS",NA
"2708","01ca729124-ewb","LOAMY-SKELETAL",6346190.02212176,3642485.05360656,20,8,"NASIS",NA
"2709","01ca729181-ewb","LOAMY-SKELETAL",6339946.62859266,3664907.21155907,20,8,"NASIS",NA
"2710","01ca729179-ewb","LOAMY-SKELETAL",6340423.94489991,3665092.97380225,20,8,"NASIS",NA
"2711","01ca729180-ewb","LOAMY-SKELETAL",6339171.74284854,3666837.02780046,20,8,"NASIS",NA
"2712","01ca729133-ewb","FINE",6342852.51007381,3658937.03478294,48,9,"NASIS",NA
"2713","01ca729116-ewb","LOAMY-SKELETAL",6335880.41058965,3651909.69022278,20,8,"NASIS",NA
"2715","01ca729117-ewb","LOAMY-SKELETAL",6340416.42129838,3654271.18860857,20,8,"NASIS",NA
